87Rb/86Sr,87Sr/86Sr,Sr ppm,147Sm/144Nd,143Nd/144Nd,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,176Lu/177Hf,176Hf/177Hf,187Re/188Os,187Os/188Os,142Nd/144Nd
0.1505,0.705219,11.89,0.12349,0.512039,,,,,,,,
0.1642,0.705526,10.2,0.16791,0.512443,,,,,,,,
0.1838,0.705773,8.058,0.09736,0.511791,,,,,,,,
,,,0.1552,,,,,,,,,
,,,0.123,0.512723,,,,,,,,
,,,,,,,,,,0.12342,0.527,
,,,,,11.555,11.1921,30.6448,,,,,
,,,,,15.1769,13.577,35.4124,,,,,
,,,,,13.3222,12.3416,33.6047,,,,,
,,,,,13.4005,12.3849,33.6505,,,,,
,,,,,,,,,,,,
,,,,,11.1633,11.4666,31.14,,,,,
,,,,,11.4946,11.638,31.521,,,,,
0.0363,0.701532,41.3,0.5031,0.514898,,,,,,,,1.138452
0.0402,0.701481,49.8,,0.514824,,,,,,,,1.138374
0.0135,0.701626,,0.4834,0.514847,,,,,,,,1.138436
,,,0.183,0.511872,,,,,,,,
0.195,0.702272,27.2,0.4905,0.514834,,,,,,,,1.138382
,,,,,,,,0.01915,0.283897,,,
,,,,,,,,0.01745,0.283775,,,
,,,,,,,,0.02408,0.284112,,,
0.07125000000000001,0.7017277500000001,39.43333333333333,0.415,0.514255,11.328949999999999,11.552299999999999,31.3305,0.020226666666666667,0.28392799999999996,,,1.138411
,,,,,,,,,,,,
,,,0.2356,0.512307,,,,0.018,0.282216,,,
,,,,,,,,0.0063,0.282158,,,
,,,0.2229,0.512298,,,,,,,,
,,,,,,,,0.0062,0.282162,,,
,,,0.2233,0.512299,,,,,,,,
,,,0.305,0.512472,,,,,,,,
,,,0.3728,0.512453,,,,,,,,
,,,0.223,0.512312,,,,,,,,
,,,,,,,,,,0.482,0.14569,
,,,0.26376666666666665,0.5123568333333333,,,,0.010166666666666666,0.2821786666666667,0.482,0.14569,
,,,,,,,,,,,,
0.09612,0.721633,,0.23024,0.512242,16.899,14.575,36.829,,,,,
,,,,,,,,0.01866,0.282203,,,
,,,,,,,,0.01804,0.282243,,,
,,,,,,,,,,11.86,0.16504,
,,,,,,,,0.0155,0.282248,,,
,,,,,,,,,0.282248,,,
,,,0.2247,0.512314,,,,,,,,
,,,,,15.0585,13.8351,35.3028,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,13.3305,13.095,33.5057,,,,,
,,,,,13.5182,13.1153,33.7041,,,,,
,,,,,13.4731,13.128,33.5956,,,,,
,,,,,,,,0.0228,0.282289,,,
,,,0.23675224376822462,0.5123658266657293,,,,0.01825,0.282297,,,
,,,,,,,,0.0127,0.282334,,,
,,,,,,,,,0.282313,,,
,,,0.2224,0.512335,,,,,,,,
,,,,,13.3305,13.095,33.5057,,,,,
,,,,,,,,,,,,
,,,,,,,,0.01463,0.282199,,,
,,,,,,,,0.01459,0.282265,,,
,,,,,,,,,,0.523,0.10831,
,,,,,,,,,,1.25,0.12495,
,,,,,,,,,,1.92,0.11686,
,,,,,,,,,,1.33,0.11651,
,,,,,14.6511,13.6809,34.7805,,,,,
,,,,,18.3168,15.6341,38.412,,,,,
,,,,,17.3626,15.098,37.4875,,,,,
,,,,,,,,0.0146,0.282199,,,
,,,,,,,,0.0146,0.282265,,,
,,,0.2292701937914577,0.5123334018782089,,,,0.01692,0.282214,,,
,,,,,,,,0.0199,0.282268,,,
,,,,,,,,,0.282264,,,
,,,0.225,0.512314,,,,,,,,
0.397,0.72358,42.6,,,,,,,,,,
0.353,0.72333,50.7,,,,,,,,,,
0.434,0.72369,50.21,0.2453,0.51234,,,,,,,,
,,,,,,,,,,,,
0.39622,0.723522,47.606,0.22713509689572886,0.5123243504695523,14.6511,13.6809,34.7805,0.015873333333333333,0.28223914285714286,1.25575,0.11665750000000001,
,,,,,,,,,,,,
,,,,,,,,0.01941,0.28363,,,
,,,,,,,,0.01916,0.283644,,,
,,,,,,,,,,0.55,0.12702,
,,,,,,,,,,0.0996,0.12879,
,,,,,,,,,,0.759,0.12861,
0.1852,0.710724,11.11,0.361,0.512599,,,,,,,,
0.1376,0.710625,19.94,0.346,0.512591,,,,,,,,
,0.710664,,0.3434,0.512576,,,,,,,,
0.1868,0.710769,5.77,0.3669,0.512591,,,,,,,,
0.1992,0.710742,9.07,0.5233,,,,,,,,,
,0.71077,,0.3425,0.512571,,,,,,,,
,,,,,,,,0.0187,0.283574,,,
,,,,,,,,0.0179,0.283569,,,
,,,0.3325,,,,,,,,,
,,,0.3367,,,,,,,,,
,,,,,14.473874656245478,,,,,,,
,,,,,14.617745943575501,,,,,,,
,,,,,13.89274798555154,,,,,,,
,,,,,13.99384270920795,,,,,,,
0.17719999999999997,0.7107156666666666,11.4725,0.3690375,0.5125856,14.244552823645119,,,0.0187925,0.28360425,0.46953333333333336,0.12814,
,,,,,,,,,,,,
,,,,,,,,0.02359,0.283703,,,
,,,,,,,,,,0.413,0.12633,
,,,,,,,,0.0246,0.28368,,,
,,,,,,,,0.0247,0.28369,,,
,,,0.3971,0.513731,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,0.416,0.51299,,,,,,,,
,,,0.40654999999999997,0.5133605,,,,0.024296666666666664,0.28369099999999997,0.413,0.12633,
,,,,,,,,,,,,
,,,,,,,,0.01852,0.283657,,,
,,,,,,,,0.0204,0.283666,,,
,,,,,,,,0.01957,0.283554,,,
,,,,,,,,0.02043,0.283775,,,
,,,,,,,,,,1.12,0.12818,
,,,0.416,0.51299,,,,,,,,
,,,0.416,0.51299,,,,0.01973,0.283663,1.12,0.12818,
,,,,,,,,,,,,
0.00637,0.708674,,0.45455,0.514424,,,,,,,,
0.01985,0.707593,,0.47302,0.514543,,,,,,,,
0.03082,0.7058,,0.4909,0.514685,,,,,,,,
,,,,,,,,,,0.977,0.13959,
,,,,,,,,,,0.818,0.13567,
,,,,,,,,,,0.57,0.1372,
,,,,,,,,,,0.48,0.1484,
,,,,,,,,,,0.444,0.12976,
,,,,,,,,,,2.18,0.14711,
,,,,,,,,0.0425,0.284277,,,
,,,,,,,,,0.284286,,,
,,,,,,,,,0.284235,,,
,,,0.4924,,,,,,,,,
,,,,,10.8916,10.8529,29.5536,,,,,
0.019013333333333333,0.7073556666666666,,0.4777175,0.5145506666666666,10.8916,10.8529,29.5536,0.0425,0.28426599999999996,0.818,0.13567,
,,,,,,,,,,,,
0.1405,0.711028,6.38,0.3261,0.51262,,,,,,,,
0.1933,0.710839,9.92,0.4223,,,,,,,,,
0.1193,0.711149,13.7,0.3447,0.512554,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,0.076,0.12741,
0.15103333333333332,0.7110053333333334,10.0,0.36436666666666667,0.5125869999999999,,,,,,0.076,0.12741,
,,,,,,,,,,,,
0.1789,0.710808,14.4,0.36361,0.512636,,,,,,,,
0.1666,0.71077,15.0,0.50629,0.512775,,,,,,,,
0.1157,0.710433,15.4,0.3435,0.512592,,,,,,,,
,,,,,,,,,,0.12,0.12888,
0.15373333333333336,0.7106703333333333,14.933333333333332,0.4044666666666667,0.5126676666666667,,,,,,0.12,0.12888,
,,,,,,,,,,,,
,,,,,,,,,,58.8,0.2101,
,,,,,,,,,,67.2,0.17817,
,,,,,,,,,,,,
,,,,,,,,,,0.547,0.13176,
,,,,,,,,,,,,
,,,,,,,,,,0.349,0.12908,
0.0432,0.701703,19.4,,,,,,,,,,
0.0374,0.701575,20.3,,,,,,,,,,
,,,,,,,,,,,,
0.0443,0.701698,19.0,0.50812,0.514696,,,,,,,,
0.0368,0.701598,21.8,0.50884,0.514713,,,,,,,,
0.2509,,,0.4398,,,,,,,,,
0.08252000000000001,0.7016435,20.125,0.48558666666666667,0.5147045,,,,,,0.448,0.13041999999999998,
,,,,,,,,,,,,
,,,,,,,,,,,,
0.2071,0.710908,8.39,,,,,,,,,,
0.2184,0.71094,,0.38514,0.512653,,,,,,,,
0.2241,0.710934,,0.5514,0.512764,,,,,,,,
0.0998,0.710696,,0.34461,0.512593,,,,,,,,
,,,,,,,,,,0.116,0.12698,
0.18735,0.7108694999999999,8.39,0.42705,0.51267,,,,,,0.116,0.12698,
,,,,,,,,,,,,
,,,0.378376,0.515454,,,,0.025178,0.284033,,,
,,,0.379692,0.515478,,,,0.0290702,0.284367,,,
0.0166,0.701714,,0.36515,0.515443,,,,,,,,
0.0244,0.701009,,0.38328,0.515518,,,,,,,,
0.02607,0.701037,,0.38562,0.515506,,,,,,,,
0.0226,0.700931,,0.464,0.515828,,,,,,,,
0.0224175,0.7009923333333333,,0.3926863333333334,0.5154797999999999,,,,0.027124099999999998,0.2842,,,
,,,,,,,,,,,,
,,,,,,,,,,0.236,0.1294,
0.1473,0.710915,12.9,0.3604,0.512499,,,,,,,,
0.3014,0.711212,5.27,0.2692,0.512384,,,,,,,,
0.0637,0.710916,,0.3065,0.512412,,,,,,,,
0.2446,0.711141,,,,,,,,,,,
0.18925,0.711046,9.085,0.31203333333333333,0.5124316666666666,,,,,,0.236,0.1294,
,,,,,,,,,,,,
0.1774,0.705506,33.0,0.1098,0.511896,,,,,,,,
,,,,,11.8039,11.5807,32.0117,,,,,
,,,,,11.5902,11.5487,31.5386,,,,,
,,,,,12.029,11.6158,32.4636,,,,,
,,,,,11.5802,11.5586,31.7153,,,,,
,,,,,11.7087,11.5678,31.7469,,,,,
0.13616666666666666,0.7049423333333333,51.26666666666667,0.14564666666666667,0.5122133333333334,11.670749999999998,11.563949999999998,31.753124999999997,,,,,
,,,,,,,,,,,,
0.1992,0.706091,53.39,0.13745,0.512179,,,,,,,,
0.2005,0.706099,55.83,0.13644499999999998,0.5121640000000001,,,,,,,,
,,,,,,,,,,,,
0.2138,0.710871,10.4,0.36441,0.51261,,,,,,,,
0.1438,0.710727,19.4,0.3581,0.51261,,,,,,,,
0.1563,0.710767,18.8,,,,,,,,,,
0.10387,0.710601,12.0,0.34528,0.512584,,,,,,,,
0.1544425,0.7107415,15.149999999999999,0.35593,0.5126013333333334,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,0.0164,0.282284,,,
,,,,,,,,,0.282286,,,
,,,0.2218,0.512319,,,,,,,,
,,,0.2218,0.512319,,,,0.0164,0.282285,,,
,,,,,,,,,,,,
,,,,,,,,,,3.19,0.12774,
,,,,,,,,,,4.06,0.13144,
,,,,,,,,,,,,
,,,,,,,,0.0384,0.28412,,,
,,,,,,,,,0.28411,,,
,,,0.4629,0.51527,,,,,,,,
,,,0.4629,0.51527,,,,0.0384,0.284115,3.625,0.12958999999999998,
,,,,,,,,,,,,
,,,,,,,,,,3.43,0.13236,
,,,,,,,,,,1.49,0.13011,
,,,,,,,,,,,,
,,,,,,,,0.0403,0.284198,,,
,,,,,,,,,0.284199,,,
,,,,,,,,,0.284171,,,
,,,0.4863,0.515488,,,,,,,,
,,,0.4863,0.515488,,,,0.0403,0.28418933333333335,2.46,0.131235,
,,,,,,,,,,,,
,,,,,16.4391,14.5577,36.4276,,,,,
,,,,,15.6831,14.1888,35.5465,,,,,
,,,,,17.3468,15.0068,37.4299,,,,,
,,,,,15.2705,14.0017,35.1532,,,,,
,,,,,15.2176,13.9653,35.0719,,,,,
,,,,,15.3904,14.051933333333332,35.257200000000005,,,,,
,,,,,,,,,,,,
,,,,,,,,,,0.151,0.14282,
,,,,,14.3682,13.5381,34.5086,,,,,
,,,,,16.8064,13.5353,38.5194,,,,,
,,,,,14.2874,13.4915,34.4746,,,,,
,,,,,14.2798,13.484,34.4785,,,,,
,,,,,14.3118,13.504533333333333,34.487233333333336,,,0.151,0.14282,
,,,,,,,,,,,,
,,,,,,,,,,1.05,0.14807,
,,,,,,,,,,0.589,0.13791,
,,,,,,,,,,,,
,,,,,13.6214,13.1774,33.6768,,,,,
,,,,,15.7214,14.1598,36.006,,,,,
,,,,,13.6715,13.2276,33.8106,,,,,
,,,,,13.7617,13.2697,33.8968,,,,,
,,,,,13.684866666666666,13.2249,33.79473333333333,,,,,
,,,,,,,,,,,,
,,,,,,,,,,0.284,0.12586,
,,,,,,,,,,1.06,0.13015,
,,,,,,,,,,,,
,,,,,12.0888,11.9335,32.0708,,,,,
,,,,,16.5171,14.3258,36.006,,,,,
,,,,,12.0116,11.9007,32.0367,,,,,
,,,,,11.7777,11.7578,31.815,,,,,
0.05638,0.705141,19.2,0.5422,0.515476,,,,,,,,
,,,,,,,,,,,,
,,,,,13.0505,11.7551,32.9319,,,,,
,,,,,13.0453,11.7579,34.0813,,,,,
,,,,,12.4076,11.6722,32.7221,,,,,
,,,,,12.4107,11.6685,32.7225,,,,,
,,,,,12.728525,11.713424999999999,33.11445,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,32.0228,21.6591,50.1455,,,,,
,,,,,29.6305,20.874,39.729,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,0.263,0.12954,
,,,,,,,,,,0.25,0.16314,
,,,,,,,,,,1.93,0.13804,
,,,,,,,,,,2.3,0.13067,
,,,,,,,,,,81.1,0.14135,
,,,,,,,,,,0.639,0.13871,
,,,,,,,,,,0.129,0.13968,
